generational_age, elapsed_time, crossover_number, crossover_beneficial, crossover_detrimental, mutation_number, mutation_beneficial, mutation_detrimental, crossover_mutation_number, crossover_mutation_beneficial, crossover_mutation_detrimental, default_number, default_beneficial, default_detrimental, command_number, command_beneficial, command_detrimental, node_number, node_beneficial, node_detrimental, parameter_number, parameter_beneficial, parameter_detrimental, prune_number, prune_beneficial, prune_detrimental, fork_number, fork_beneficial, fork_detrimental, default_command_number, default_command_beneficial, default_command_detrimental, default_node_number, default_node_beneficial, default_node_detrimental, default_parameter_number, default_parameter_beneficial, default_parameter_detrimental, default_prune_number, default_prune_beneficial, default_prune_detrimental, default_fork_number, default_fork_beneficial, default_fork_detrimental
0, 2.500000e-04, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 1.909200e-02, 20, 5, 7, 36, 14, 14, 18, 2, 9, 20, 5, 7, 2, 0, 1, 11, 5, 5, 9, 2, 6, 8, 3, 2, 6, 4, 0, 6, 1, 3, 1, 1, 0, 6, 0, 4, 3, 0, 2, 2, 0, 0
2, 3.812300e-02, 47, 10, 14, 82, 34, 28, 33, 7, 14, 47, 10, 14, 8, 2, 3, 18, 7, 10, 22, 9, 10, 16, 6, 3, 18, 10, 2, 10, 3, 3, 4, 2, 0, 7, 0, 5, 6, 2, 3, 6, 0, 3
3, 5.496700e-02, 77, 13, 19, 115, 41, 43, 49, 9, 23, 77, 13, 19, 16, 4, 6, 26, 9, 13, 32, 12, 15, 20, 6, 5, 21, 10, 4, 14, 4, 6, 7, 2, 2, 10, 0, 6, 9, 2, 5, 9, 1, 4
4, 7.199700e-02, 107, 17, 32, 140, 46, 57, 65, 9, 32, 107, 17, 32, 20, 5, 8, 32, 10, 18, 37, 14, 17, 27, 7, 10, 24, 10, 4, 18, 4, 8, 11, 2, 4, 13, 0, 6, 11, 2, 7, 12, 1, 7
5, 9.052100e-02, 140, 19, 48, 159, 49, 70, 92, 9, 50, 140, 19, 48, 24, 5, 12, 38, 12, 22, 39, 14, 19, 31, 8, 11, 27, 10, 6, 22, 4, 11, 14, 2, 6, 18, 0, 9, 17, 2, 11, 21, 1, 13
6, 1.186730e-01, 166, 22, 57, 197, 53, 92, 118, 11, 61, 166, 22, 57, 29, 6, 15, 47, 12, 28, 49, 14, 24, 39, 9, 16, 33, 12, 9, 27, 5, 13, 23, 2, 10, 21, 0, 9, 23, 2, 15, 24, 2, 14
7, 1.444890e-01, 200, 24, 74, 222, 57, 108, 142, 12, 71, 200, 24, 74, 38, 8, 21, 51, 12, 31, 55, 15, 28, 42, 9, 17, 36, 13, 11, 35, 5, 17, 25, 2, 10, 23, 1, 10, 30, 2, 19, 29, 2, 15
8, 1.626780e-01, 234, 25, 94, 254, 65, 125, 162, 17, 79, 234, 25, 94, 44, 10, 24, 56, 13, 35, 60, 16, 32, 53, 11, 22, 41, 15, 12, 40, 8, 17, 29, 2, 12, 25, 1, 10, 33, 2, 22, 35, 4, 18
9, 1.797910e-01, 263, 27, 108, 287, 72, 144, 185, 21, 89, 263, 27, 108, 51, 12, 28, 65, 16, 39, 66, 16, 37, 58, 11, 25, 47, 17, 15, 46, 9, 21, 34, 2, 15, 30, 1, 11, 36, 3, 23, 39, 6, 19
10, 1.975590e-01, 290, 27, 121, 326, 84, 165, 204, 23, 100, 290, 27, 121, 61, 13, 34, 68, 16, 42, 78, 20, 43, 63, 14, 26, 56, 21, 20, 52, 9, 24, 35, 2, 16, 35, 2, 14, 39, 3, 25, 43, 7, 21
11, 2.157880e-01, 314, 27, 134, 363, 92, 184, 216, 23, 107, 314, 27, 134, 65, 14, 37, 76, 17, 48, 86, 22, 47, 74, 16, 32, 62, 23, 20, 54, 9, 26, 36, 2, 16, 41, 2, 18, 41, 3, 26, 44, 7, 21
12, 2.370140e-01, 344, 28, 146, 392, 97, 203, 238, 25, 118, 344, 28, 146, 76, 17, 43, 80, 17, 51, 92, 23, 51, 80, 17, 37, 64, 23, 21, 58, 9, 30, 40, 2, 19, 44, 2, 18, 46, 3, 28, 50, 9, 23
13, 2.552200e-01, 385, 31, 165, 418, 101, 218, 255, 25, 127, 385, 31, 165, 80, 19, 45, 86, 17, 56, 98, 24, 54, 86, 17, 39, 68, 24, 24, 59, 9, 31, 45, 2, 21, 47, 2, 19, 51, 3, 31, 53, 9, 25
14, 2.752930e-01, 405, 31, 171, 462, 110, 244, 267, 25, 132, 405, 31, 171, 90, 21, 51, 91, 17, 60, 106, 24, 59, 97, 19, 45, 78, 29, 29, 61, 9, 32, 50, 2, 23, 48, 2, 19, 54, 3, 33, 54, 9, 25
15, 2.915470e-01, 432, 31, 180, 498, 117, 264, 282, 27, 142, 432, 31, 180, 95, 22, 55, 97, 17, 66, 114, 24, 62, 106, 22, 50, 86, 32, 31, 63, 10, 33, 52, 3, 24, 51, 2, 22, 57, 3, 35, 59, 9, 28
16, 3.143640e-01, 472, 33, 201, 529, 121, 287, 310, 28, 160, 472, 33, 201, 101, 22, 61, 106, 20, 72, 122, 24, 67, 114, 23, 56, 86, 32, 31, 68, 11, 36, 59, 3, 27, 60, 2, 28, 60, 3, 37, 63, 9, 32
17, 3.365190e-01, 497, 37, 210, 559, 127, 308, 327, 31, 166, 497, 37, 210, 108, 23, 67, 112, 22, 75, 128, 24, 73, 120, 25, 59, 91, 33, 34, 71, 11, 38, 61, 3, 28, 62, 2, 29, 64, 3, 39, 69, 12, 32
18, 3.579000e-01, 528, 38, 225, 596, 137, 329, 344, 31, 176, 528, 38, 225, 119, 26, 74, 115, 22, 78, 139, 26, 78, 127, 28, 62, 96, 35, 37, 77, 11, 41, 64, 3, 30, 64, 2, 31, 67, 3, 41, 72, 12, 33
19, 3.821750e-01, 561, 38, 240, 631, 144, 348, 363, 32, 188, 561, 38, 240, 129, 28, 81, 119, 22, 82, 150, 27, 82, 130, 29, 63, 103, 38, 40, 82, 11, 45, 65, 3, 31, 68, 2, 33, 74, 4, 45, 74, 12, 34
20, 4.022230e-01, 593, 39, 259, 660, 151, 364, 381, 33, 198, 593, 39, 259, 133, 28, 84, 123, 24, 84, 154, 27, 85, 135, 32, 64, 115, 40, 47, 87, 11, 49, 68, 3, 34, 70, 2, 33, 77, 4, 46, 79, 13, 36
21, 4.263730e-01, 630, 40, 279, 689, 154, 386, 402, 36, 208, 630, 40, 279, 144, 29, 93, 129, 24, 90, 158, 27, 87, 140, 32, 68, 118, 42, 48, 92, 11, 52, 72, 3, 37, 75, 2, 35, 79, 4, 47, 84, 16, 37
22, 4.842360e-01, 651, 42, 287, 718, 159, 404, 429, 42, 225, 651, 42, 287, 148, 30, 96, 136, 25, 96, 168, 30, 92, 145, 32, 71, 121, 42, 49, 99, 14, 56, 76, 3, 41, 81, 2, 38, 83, 5, 50, 90, 18, 40
